model,distilled,confidence,notes
amazon.nova-pro-v1:0,FALSE,low,"They also have some ""micro"" models. Maybe the difference is that this isn't distilled but those are. "
Baichuan-2-13B-Base,FALSE,high,"""trained from scratch"" in paper for both sizes, no distillation mentioned"
Baichuan-2-7B-Base,FALSE,high,"""trained from scratch"" in paper for both sizes, no distillation mentioned"
Baichuan-7B,FALSE,high,
Cerebras-GPT-13B,FALSE,high,"Pre-trained from scratch, no distllation mentioned"
chatglm2-6b,FALSE,low,
claude-2.0,FALSE,low,
claude-2.1,FALSE,low,
claude-3-5-haiku-20241022,TRUE,low,
claude-3-5-sonnet-20240620,FALSE,high,https://www.darioamodei.com/post/on-deepseek-and-export-controls
claude-3-5-sonnet-20241022,FALSE,medium,
claude-3-haiku-20240307,TRUE,low,
claude-3-opus-20240229,FALSE,medium,"Assumed, given its size relative to rest of series"
claude-3-sonnet-20240229,TRUE,low,
claude-instant-1.2,TRUE,low,"Their old ""instant"" models were meant for low latency high throughput cases, so probably smaller, distilled versions"
claude-opus-4-1-20250805,FALSE,medium,"Assumed, given its size relative to rest of series"
claude-opus-4-1-20250805_16K,FALSE,medium,"Assumed, given its size relative to rest of series"
claude-opus-4-1-20250805_27K,FALSE,medium,"Assumed, given its size relative to rest of series"
claude-opus-4-20250514,FALSE,medium,"Assumed, given its size relative to rest of series"
claude-opus-4-20250514_16K,FALSE,medium,"Assumed, given its size relative to rest of series"
claude-sonnet-4-20250514,TRUE,low,
claude-sonnet-4-20250514_16K,TRUE,low,
claude-sonnet-4-20250514_32K,TRUE,low,
claude-sonnet-4-5-20250929,TRUE,low,
CodeQwen1.5-7B,FALSE,medium,No mention of distillation. some synthetic data but probably not that much
deepseek-coder-1.3b-base,FALSE,medium,Described as trained from scratch https://huggingface.co/deepseek-ai/deepseek-coder-1.3b-base 
deepseek-coder-33b-base,FALSE,medium,Described as trained from scratch https://huggingface.co/deepseek-ai/deepseek-coder-1.3b-base 
deepseek-coder-6.7b-base,FALSE,medium,Described as trained from scratch https://huggingface.co/deepseek-ai/deepseek-coder-1.3b-base 
DeepSeek-Coder-V2-Lite-Base,FALSE,medium,
DeepSeek-R1,FALSE,high,"""Specifically, we use DeepSeek-V3-Base as the base model"", see DeepSeek V3 entry, no distillation mentioned"
DeepSeek-R1-0528,FALSE,high,No distillation mentioned since original version
DeepSeek-R1-Distill-Llama-70B,TRUE,high,
DeepSeek-V2,FALSE,high,
DeepSeek-V3,FALSE,high,
DeepSeek-V3-0324,FALSE,high,
DeepSeek-V3.1,FALSE,high,
dolly-v2-12b,FALSE,low,
falcon-11b,FALSE,high,Training described
falcon-180B,FALSE,high,Training described
falcon-40b,FALSE,high,Training described
falcon-7b,FALSE,high,Training described
gemini-1.5-flash-001,TRUE,medium,https://blog.google/technology/ai/google-gemini-update-flash-ai-assistant-io-2024/
gemini-1.5-flash-002,TRUE,medium,
gemini-1.5-pro-001,FALSE,medium,"Assumed, given its size relative to rest of series"
gemini-1.5-pro-002,FALSE,medium,"Assumed, given its size relative to rest of series"
gemini-2.0-flash-001,TRUE,medium,
gemini-2.0-flash-exp,TRUE,medium,
gemini-2.0-flash-thinking-exp-01-21,TRUE,medium,
gemini-2.0-pro-exp-02-05,FALSE,medium,"Assumed, given its size relative to rest of series"
gemini-2.5-flash-preview-04-17,TRUE,medium,
gemini-2.5-flash-preview-05-20,TRUE,medium,
gemini-2.5-pro-exp-03-25,FALSE,medium,Assumed
gemini-2.5-pro-preview-03-25,FALSE,medium,"Assumed, given its size relative to rest of series"
gemini-2.5-pro-preview-05-06,FALSE,medium,"Assumed, given its size relative to rest of series"
gemini-2.5-pro-preview-06-05,FALSE,medium,"Assumed, given its size relative to rest of series"
gemma-2-27b-it,FALSE,high,We also train the 2B and 9B models with knowledge distillation
gemma-2-9b-it,TRUE,high,We also train the 2B and 9B models with knowledge distillation
gemma-2b,TRUE,high,Training described
gemma-3-27b-it,TRUE,high,"""The Gemma 3 models are trained with distillation"""
gemma-7b,FALSE,high,Training described
gpt-3.5-turbo-0613,FALSE,low,
gpt-3.5-turbo-1106,FALSE,low,
gpt-4-0314,FALSE,medium,
gpt-4-0613,FALSE,medium,
gpt-4-turbo-2024-04-09,FALSE,low,
gpt-4.1-2025-04-14,FALSE,medium,
gpt-4.1-mini-2025-04-14,TRUE,medium,
gpt-4.1-nano-2025-04-14,TRUE,medium,
gpt-4.5-preview-2025-02-27,FALSE,high,"Assumed, given its size relative to rest of series"
gpt-4o-2024-05-13,FALSE,low,
gpt-4o-2024-08-06,FALSE,low,
gpt-4o-2024-11-20,FALSE,low,
gpt-4o-mini-2024-07-18,TRUE,medium,
gpt-5-2025-08-07_high,FALSE,low,
gpt-5-2025-08-07_medium,FALSE,low,
gpt-5-mini-2025-08-07_high,TRUE,medium,Speculated
gpt-5-mini-2025-08-07_medium,TRUE,medium,Speculated
gpt-5-nano-2025-08-07_high,TRUE,medium,Speculated
gpt-5-nano-2025-08-07_medium,TRUE,medium,Speculated
gpt-neo-2.7B,FALSE,high,Traning described
