id,Model,Display name,Hugging Face developer id,Version release date,Notes,Link,Aider’s polyglot benchmark,OS World (Screenshot),LiveBench,Balrog,The Agent Company,AidanBench,WeirdML V1,WebDevArena,SimpleBench,Factorio Learning Environment,HCAST,RE-Bench,MCBench,VendingBench,METR horizon lengths,Cybench,Lech Mazur Writing,TEMPLATE,GeoBench,Fiction.LiveBench,CadEval,VPCT,HellaSwag,OpenBookQA,WinoGrande,MMLU,BBH,TriviaQA,autoadvexbench,Terminal Bench,BrowseComp,OSUniverse,VideoMME,GSO-Bench,GSM8K,CommonSenseQA 2,SuperGlue,LAMBADA,BoolQ,PIQA,ARC AGI,Adversarial NLI,ScienceQA,DeepResearch Bench,WeirdML V2,ARC AI2,EnigmaEval,VISTA,ToolComp,Has external benchmark result on hub (WIP),TEMPLATE copy
ada,GPT-3 Medium,,,,was deprecated 2024-01-04,https://platform.openai.com/docs/deprecations#base-gpt-models,,,,,,,,,,,,,,,,,,,,,,,recfeLKZvBng82A20,,,,,,,,,,,,recV2EaPfHNBvr0hb,,,,recuxYuqda0BgQhJY,,,,,,,,,,,0,
babbage,GPT-3 XL,,,,was deprecated 2024-01-04,https://platform.openai.com/docs/deprecations#base-gpt-models,,,,,,,,,,,,,,,,,,,,,,,rec9GDlYjK3e9FkXR,,,,,,,,,,,,rec2iML006beoMXFn,,,,rec3r9ODWHvb0JhHT,,,,,,,,,,,0,
babbage-002,GPT-3 XL,,,2024-01-04,,https://platform.openai.com/docs/models#gpt-base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
claude-2.0,Claude 2,,,2023-07-11,"Legacy model
Knowledge cutoff date appears to be ""early 2023"", according to https://web.archive.org/web/20230727145443/https://support.anthropic.com/en/articles/8114494-how-up-to-date-is-claude-s-training-data.",,,,,,,,,,,,,,,,,,,,,,,,,,,"recrV38I6BcgNumAG,rec27Ld4GRYCOplnG",,recTmyjydTD3zEmrN,,,,,,,,,,,,,,,,,,,,,,0,
claude-2.1,Claude 2.1,,,2023-11-21,"Legacy model
Knowledge cutoff date appears to be January 1, 2023, according to https://docsbot.ai/models/claude-2-1.",,,,,,,,,,,,,,,,,,,,,,,,,,,rec3x29hlWlm49CQP,,,,,,,,,,,,,,,,,,,recMLC0xkEkCfcRb8,,,,,1,
claude-3-5-haiku-20241022,Claude 3.5 Haiku,Claude 3.5 Haiku (Oct 2024),,2024-10-22,"Knowledge cutoff date is July 1, 2024, according to https://docs.anthropic.com/en/docs/about-claude/models/overview.",,rec9QQ4Xg51kvPPbz,,claude-3-5-haiku-20241022,recCcD32JXmEOmxbh,,anthropic/claude-3-5-haiku-20241022,recOfPvtqRTU6378x,rec2HfXnHOGStYCxd,,,,,Claude 3.5 Haiku (2024-10-22),,,,recfHZVxMFIfkbYxf,,recno5e6hTQGMAJmt,,recd89YB5ghMG5qFq,,,,,recYAn1b7tiMc4vIW,,,,,,,,,,,,,,,,,,,reccOpUe11CUnfz3D,,,,,1,
claude-3-5-sonnet-20240620,Claude 3.5 Sonnet,Claude 3.5 Sonnet (Jun 2024),,2024-06-20,"Knowledge cutoff date is April 1, 2024, according to https://www.techtarget.com/searchenterpriseai/feature/Claude-AI-vs-ChatGPT-How-do-they-compare.",,,"Claude 3.5 Sonnet (50 steps),Claude 3.5 Sonnet (15 steps)",,,,anthropic/claude-3.5-sonnet-20240620,,,recmO9zJFuB6oSrz8,"recM8yCK8gpP0f9t1,recgMIbSZzrOwD1Cw",,,,,rec3I5CcPGjF3Riat,recnDZnKntPQUMNMP,,,,,,recYLAYmihUQYov44,,,,rectxjtMFzEfdNd3Q,,,,,,,recjfbtBgqksInEwl,,,,,,,,,,,,recZ2Fnhy1oCABquH,,,recQiGC3SmBbKv0P9,recxKzcwI29MesSQr,1,
claude-3-5-sonnet-20241022,Claude 3.5 Sonnet,Claude 3.5 Sonnet (Oct 2024),,2024-10-22,"Knowledge cutoff date is April 1, 2024, according to https://docs.anthropic.com/en/docs/about-claude/models/overview.",,rec57bL14FIulU6lg,"Claude 3.5 Sonnet (new) (50 steps),Claude 3.5 Sonnet (new) (100 steps)",claude-3-5-sonnet-20241022,recLWfLdjfhmgI3Ap,OpenHands + Claude 3.5 Sonnet,anthropic/claude-3.5-sonnet,recW7txACSH2qBY6d,recPRratljctS351K,rec55sHDKD0gxxg5R,,,,Claude 3.5 Sonnet (2024-10-22),Claude 3.5 Sonnet,recM2JJhzA3vJAZoZ,,recP7L8TeBmoCAl0r,,rec3IW78fmDClmevf,,recVkIinzo3EVhob6,recLSdu00YI6KGPj1,,,,recoTsRA8ILsdFhsM,,,recxewrTsxuPbF5lh,,,"reca8hBVJjJ8YCYuw,rec7c6zquoDnXGgys",,recTAzfnTtfeArFqk,,,,,,,,,,,reci9lthvBxTe1qFc,,recdFMyKmtwPfeQVW,recxaPquo9kD0zJAQ,,1,
claude-3-haiku-20240307,Claude 3 Haiku,,,2024-03-07,"Knowledge cutoff date is August 1, 2023, according to https://docs.anthropic.com/en/docs/about-claude/models/overview.",,,,,,,anthropic/claude-3-haiku,,,,,,,,Claude 3.5 Haiku,,,,,,,recXk8aKqbCUZ9FSa,,,,rec48LdyvDEsxod6W,recFv7M6aEx8RaC1z,,,,,,,,,,,,,,,,,reccDSd3p2ZJ5XIgq,,recgnkWUBffrHJLJ3,,,,,1,
claude-3-opus-20240229,Claude 3 Opus,,,2024-02-29,"Knowledge cutoff date is August 1, 2023, according to https://docs.anthropic.com/en/docs/about-claude/models/overview.",,,Claude-3-Opus,claude-3-opus-20240229,,,anthropic/claude-3-opus,,,reckWZi9nZmUCMK0d,,,,Claude 3 Opus (2024-02-29),,recyvUC4eTQ5SK6Gr,recBEOU9mpDvDjB0J,,,,,,,,,recwhfZU1uHwUbOtB,receM7r5loSsHAQw3,,,,,,,,,,,,,,,,,,,recjgmcFQfC0Kfg2a,,recPsiWeXG3X5r2M0,recDicV0ejxlLcdJD,recZbICNNscKmmzbq,1,
claude-3-sonnet-20240229,Claude 3 Sonnet,,,2024-02-29,"Knowledge cutoff date is August 1, 2023, according to https://www.techtarget.com/searchenterpriseai/feature/Claude-AI-vs-ChatGPT-How-do-they-compare.",,,,,,,anthropic/claude-3-sonnet,,,,,,,,,,,,,,,,,,,recfo636SsgKz6bre,recE3DF6ClfScS431,,,,,,,,,,,,,,,,,,,recr58UTdDueiBsM9,,,,recgxMFZzpj553aBa,1,
claude-instant-1.2,Claude Instant,,,2023-08-09,"Knowledge cutoff date appears to be January 1, 2023, according to https://docsbot.ai/models/compare/claude-instant-1-2/gpt-4-1-nano.",https://www.anthropic.com/news/releasing-claude-instant-1-2,,,,,,,,,,,,,,,,,,,,,,,,,,"rec5zO5kkq0fxUAov,rece9mgHXM0QhmiDh",,recEOw6eMJ9XwFZTY,,,,,,,recxB6uTAez5LVB1C,,,,,,,,,,,recCzRTq1cFC8vOhO,,,,0,
o,Codex,,,,was deprecated 2023-03-23,https://platform.openai.com/docs/deprecations#2023-03-20-codex-models,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
code-cushman-002,Codex,,,,was deprecated 2023-03-23,https://platform.openai.com/docs/deprecations#2023-03-20-codex-models,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
code-davinci-002,GPT-3.5,,,,"was deprecated 2024-01-04

was likely released in early 2022 and was likely based on gpt-3.5

from Wikipedia: Similar capabilities to text-davinci-003 but trained with supervised fine-tuning instead of reinforcement learning",https://platform.openai.com/docs/deprecations#base-gpt-models,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,recC9RJ4GUYLfhNZC,,,,,,,,,,,,,,,0,
code-davinci-edit-001,GPT-3.5,,,,was deprecated 2024-01-04,https://platform.openai.com/docs/deprecations#edit-models-endpoint,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
curie,GPT-3 6.7B,,,,was deprecated 2024-01-04,https://platform.openai.com/docs/deprecations#base-gpt-models,,,,,,,,,,,,,,,,,,,,,,,recKp5z9jwr9Zh0Ts,,,,,,,,,,,,recG9AtQzNyxmyNcN,,,,recopuZrvouRmaJuY,,,,,,,,,,,0,
davinci,GPT-3 175B (davinci),,,,was deprecated 2024-01-04,https://platform.openai.com/docs/deprecations#base-gpt-models,,,,,,,,,,,,,,,,,,,,,,,recbOlkritQTwwoUh,,,,,,,,,,,,recN3MvbzHfDJYOx0,,,,recfjfOx271bgYCFm,,,,,,,,,,,0,
davinci-002,GPT-3 175B (davinci),,,,,https://platform.openai.com/docs/models#gpt-base,,,,,,,,,,,,,,,recbmHH5GLQL9jfZn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
dbrx-base,DBRX,,databricks,2024-03-27,,https://huggingface.co/databricks/dbrx-base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
dbrx-instruct,DBRX,,databricks,2024-03-27,,https://huggingface.co/databricks/dbrx-instruct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
deepseek-coder-1.3b-base,DeepSeek Coder 1.3B,,deepseek-ai,2023-11-02,,https://huggingface.co/deepseek-ai/deepseek-coder-1.3b-base,,,,,,,,,,,,,,,,,,,,,,,,,recVHFqbsrGnj2Vx2,reca7wIho24nf1lbz,,,,,,,,,recfazKRlIPHIqw4y,,,,,,,,,,,recHGOaX4WRoiifCr,,,,0,
deepseek-coder-1.3b-instruct,DeepSeek Coder 1.3B,,deepseek-ai,2023-11-02,,https://huggingface.co/deepseek-ai/deepseek-coder-1.3b-instruct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
deepseek-coder-6.7b-base,DeepSeek Coder 6.7B,,deepseek-ai,2023-11-02,,https://huggingface.co/deepseek-ai/deepseek-coder-6.7b-base,,,,,,,,,,,,,,,,,,,,,,,,,recjz7QSFeeZcphoR,rec9GGQ2SbDsozdsi,,,,,,,,,recBna1XK3H5DgEs2,,,,,,,,,,,rec5apbI4aqTcGOt2,,,,0,
deepseek-coder-6.7b-instruct,DeepSeek Coder 6.7B,,deepseek-ai,2023-11-02,,https://huggingface.co/deepseek-ai/deepseek-coder-6.7b-instruct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
deepseek-coder-7b-base-v1.5,DeepSeek Coder 6.7B,,deepseek-ai,2024-01-25,,https://huggingface.co/deepseek-ai/deepseek-coder-7b-base-v1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
deepseek-coder-33b-base,DeepSeek Coder 33B,,deepseek-ai,2023-11-02,,https://huggingface.co/deepseek-ai/deepseek-coder-33b-base,,,,,,,,,,,,,,,,,,,,,,,,,recU2oocllLjEXaxq,recWXbEo1J1SGz2Pc,,,,,,,,,recgenJ4jFOj6dzga,,,,,,,,,,,recpeuK5Fs5GpJMEj,,,,0,
deepseek-coder-33b-instruct,DeepSeek Coder 33B,,deepseek-ai,2023-11-02,,https://huggingface.co/deepseek-ai/deepseek-coder-33b-instruct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
DeepSeek-Coder-V2-Base,DeepSeek-Coder-V2 236B,,deepseek-ai,2024-06-17,,https://huggingface.co/deepseek-ai/DeepSeek-Coder-V2-Base,,,,,,,,,,,,,,,,,,,,,,,,,rec7J2f61YnAY2lHm,,,,,,,,,,recwfs7UuYljqIWC4,,,,,,,,,,,recZW2JY1PtSj2NeX,,,,0,
DeepSeek-Coder-V2-Instruct,DeepSeek-Coder-V2 236B,,deepseek-ai,2024-06-17,,https://huggingface.co/deepseek-ai/DeepSeek-Coder-V2-Instruct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,recgWLov37oVjOk4Y,,,,,,,,,,,,,,,0,
deepseek-llm-7b-base,DeepSeek LLM 7B,,deepseek-ai,2023-11-29,,https://huggingface.co/deepseek-ai/deepseek-llm-7b-base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
deepseek-llm-7b-chat,DeepSeek LLM 7B,,deepseek-ai,2023-11-29,,https://huggingface.co/deepseek-ai/deepseek-llm-7b-chat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
deepseek-llm-67b-base,DeepSeek LLM 67B,,deepseek-ai,2023-11-29,,https://huggingface.co/deepseek-ai/deepseek-llm-67b-base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
deepseek-llm-67b-chat,DeepSeek LLM 67B,,deepseek-ai,2023-11-29,,https://huggingface.co/deepseek-ai/deepseek-llm-67b-chat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
deepseek-math-7b-base,DeepSeekMath 7B,,deepseek-ai,2024-02-05,,https://huggingface.co/deepseek-ai/deepseek-math-7b-base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
DeepSeek-Prover-V1.5-Base,DeepSeek-Prover-V1.5,,deepseek-ai,2024-08-15,,https://huggingface.co/deepseek-ai/DeepSeek-Prover-V1.5-Base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
