,model_id,estimated_capability,model,Model,date,date_obj
67,m61,2.109367337893954,o3-2025-04-16_high,o3,2025-04-16,2025-04-16
82,m75,2.1038958956559224,o3-2025-04-16_medium,o3,2025-04-16,2025-04-16
68,m62,2.091556529471063,o4-mini-2025-04-16_high,o4-mini,2025-04-16,2025-04-16
56,m51,2.090322692318741,gemini-2.5-pro-exp-03-25,Gemini 2.5 Pro,2025-03-25,2025-03-25
83,m76,2.0446619440769,o4-mini-2025-04-16_medium,o4-mini,2025-04-16,2025-04-16
80,m73,2.0228956729282372,gemini-2.5-pro-preview-05-06,Gemini 2.5 Pro,2025-05-06,2025-05-06
46,m42,2.0086757479032955,o1-2024-12-17_high,o1,2024-12-17,2024-12-17
84,m77,2.004340174091416,gemini-2.5-pro-preview-03-25,Gemini 2.5 Pro,2025-04-09,2025-04-09
44,m40,1.985459139070813,o3-mini-2025-01-31_high,o3-mini,2025-01-31,2025-01-31
34,m31,1.9834421914954259,o1-2024-12-17_medium,o1,2024-12-17,2024-12-17
73,m67,1.9802124267072263,claude-sonnet-4-20250514_32K,Claude Sonnet 4,2025-05-22,2025-05-22
77,m70,1.973812889180185,grok-3-mini-beta_high,Grok-3 mini,2025-04-09,2025-04-09
72,m66,1.96588551093605,claude-opus-4-20250514_16K,Claude Opus 4,2025-05-22,2025-05-22
86,m79,1.9619148805918039,gemini-2.5-flash-preview-04-17,Gemini 2.5 Flash,2025-04-17,2025-04-17
79,m72,1.952480123498037,DeepSeek-R1-0528,DeepSeek-R1,2025-05-28,2025-05-28
85,m78,1.939151926660811,gemini-2.5-flash-preview-05-20,Gemini 2.5 Flash,2025-05-20,2025-05-20
52,m48,1.9384365923063753,claude-3-7-sonnet-20250219_32K,Claude 3.7 Sonnet,2025-02-24,2025-02-24
37,m34,1.935854872687884,o3-mini-2025-01-31_medium,o3-mini,2025-01-31,2025-01-31
78,m71,1.9356890218267784,claude-3-7-sonnet-20250219_64K,Claude 3.7 Sonnet,2025-02-24,2025-02-24
62,m57,1.9316990999357955,grok-3-mini-beta_low,Grok-3 mini,2025-04-09,2025-04-09
74,m68,1.9223019105199137,grok-3-beta,Grok 3,2025-04-09,2025-04-09
75,m69,1.912703840785902,DeepSeek-R1,DeepSeek-R1,2025-01-20,2025-01-20
49,m45,1.9075396516191017,claude-3-7-sonnet-20250219_16K,Claude 3.7 Sonnet,2025-02-24,2025-02-24
70,m64,1.9073778167945767,claude-opus-4-20250514,Claude Opus 4,2025-05-22,2025-05-22
45,m41,1.876119541761573,o1-mini-2024-09-12_high,o1-mini,2024-09-12,2024-09-12
51,m47,1.8641625446511196,gpt-4.5-preview-2025-02-27,GPT-4.5,2025-02-27,2025-02-27
57,m52,1.8574549245069545,DeepSeek-V3-0324,DeepSeek-V3,2025-03-24,2025-03-24
41,m38,1.849028923778805,gemini-2.0-flash-thinking-exp-01-21,Gemini 2.0 Flash Thinking,2025-01-21,2025-01-21
63,m58,1.8462814647279493,gpt-4.1-2025-04-14,GPT-4.1,2025-04-14,2025-04-14
47,m43,1.846104559783131,claude-3-7-sonnet-20250219,Claude 3.7 Sonnet,2025-02-24,2025-02-24
71,m65,1.8421607802136197,claude-sonnet-4-20250514,Claude Sonnet 4,2025-05-22,2025-05-22
81,m74,1.83646876016797,qwen3-235b-a22b,Qwen3-235B-A22B,2025-04-29,2025-04-29
42,m39,1.825899693907623,gemini-2.0-pro-exp-02-05,Gemini 2.0 Pro,2025-02-05,2025-02-05
43,m4,1.8161593130835627,o1-mini-2024-09-12_medium,o1-mini,2024-09-12,2024-09-12
65,m6,1.8155678266731368,o1-preview-2024-09-12,o1-preview,2024-09-12,2024-09-12
66,m60,1.813572319796007,gpt-4.1-mini-2025-04-14,GPT-4.1 mini,2025-04-14,2025-04-14
69,m63,1.7938798287076319,mistral-medium-2505,Mistral Medium 3,2025-05-07,2025-05-07
40,m37,1.7905302449445646,gemini-2.0-flash-001,Gemini 2.0 Flash,2025-02-05,2025-02-05
