,model,Model,date,estimated_capability
240,computer-use-preview-2025-03-11,,2025-03-11,4.398192252415837
209,claude-opus-4-20250514_2K,Claude Opus 4,2025-05-22,2.8461909688254847
211,claude-sonnet-4-20250514_2K,Claude Sonnet 4,2025-05-22,2.777239499850419
24,gpt-5-2025-08-07_medium,GPT-5,2025-08-07,2.6533671929967353
26,gpt-5-2025-08-07_high,GPT-5,2025-08-07,2.6282462431069646
241,claude-opus-4-20250514_12K,Claude Opus 4,2025-05-22,2.611504959068535
246,gpt-5-codex,GPT-5,2025-09-15,2.5160498935395466
42,gemini-2.5-pro-preview-06-05_32K,Gemini 2.5 Pro,,2.51244238981636
43,gpt-5-2025-08-07_low,GPT-5,2025-08-07,2.490150770025432
14,gemini-2.5-pro-preview-06-05,Gemini 2.5 Pro,2025-06-05,2.4896301152236884
0,grok-4-0709,Grok 4,2025-07-09,2.46415130878868
35,gemini-2.5-pro,Gemini 2.5 Pro,2025-06-17,2.4624845168192007
247,glm-4.5,GLM 4.5,2025-08-03,2.4512921888825443
41,o3-pro-2025-06-10_high,o3-pro,2025-06-10,2.4427331290627645
368,o3-2025-04-16_high,o3,2025-04-16,2.4271094270641584
291,gemini-2.5-flash-preview-09-25,Gemini 2.5 Flash,2025-09-25,2.4203762178492823
79,o3-pro-2025-06-10_medium,o3-pro,2025-06-10,2.411705403117446
355,gemini-2.5-pro-exp-03-25,Gemini 2.5 Pro,2025-03-25,2.406947902640276
369,o4-mini-2025-04-16_high,o4-mini,2025-04-16,2.3991394944316706
29,o3-2025-04-16_medium,o3,2025-04-16,2.397559208022549
25,gpt-5-mini-2025-08-07_medium,GPT-5 mini,2025-08-07,2.389277173663159
20,gpt-5-mini-2025-08-07_high,GPT-5 mini,2025-08-07,2.366845459385368
242,claude-3-7-sonnet-20250219_12K,Claude 3.7 Sonnet,2025-02-24,2.353466501109009
248,glaive-swe-v1,,,2.3450316674156677
11,gemini-2.5-pro-preview-05-06,Gemini 2.5 Pro,2025-05-06,2.3386780481655336
243,claude-sonnet-4-20250514_12K,Claude Sonnet 4,2025-05-22,2.3347543022853467
76,o3-pro-2025-06-10_low,o3-pro,2025-06-10,2.3317767857965923
44,claude-opus-4-20250514_32K,Claude Opus 4,2025-05-22,2.321506254670263
28,qwen3-max-2025-09-23,Qwen3-Max,2025-09-24,2.3214747038649177
30,o3-2025-04-16_low,o3,2025-04-16,2.320794447540469
32,o4-mini-2025-04-16_medium,o4-mini,2025-04-16,2.3140267202966434
6,claude-sonnet-4-20250514_59K,Claude Sonnet 4,2025-05-22,2.299819281012015
22,gpt-5-nano-2025-08-07_medium,GPT-5 nano,2025-08-07,2.299698071050823
40,DeepSeek-V3.1,DeepSeek-V3.1,2025-08-21,2.2996469707972897
18,claude-opus-4-1-20250805_27K,Claude Opus 4.1,2025-08-05,2.292644083938845
