model_id,benchmark_id,performance,benchmark,benchmark_release_date,optimized,is_math,is_coding,model,date,source
m1,b1,0.8266666666666667,GPQA diamond,2023-11-20,True,False,False,grok-4-0709,2025-07-09,Epoch evaluations
m1,b10,0.436,Balrog,2024-11-20,False,False,False,grok-4-0709,2025-07-09,
m1,b16,0.548,DeepResearch Bench,2025-06-13,False,False,False,grok-4-0709,2025-07-09,DeepResearchBench Leaderboard
m1,b18,0.45,GeoBench,2025-03-01,False,False,False,grok-4-0709,2025-07-09,GeoBench leaderboard
m1,b2,0.121,FrontierMath-2025-02-28-Private,2025-02-28,True,True,False,grok-4-0709,2025-07-09,Epoch evaluations
m1,b30,0.605,SimpleBench,2024-10-31,False,False,False,grok-4-0709,2025-07-09,SimpleBench Leaderboard
m1,b4,0.8398398398398398,OTIS Mock AIME 2024-2025,2024-12-19,True,True,False,grok-4-0709,2025-07-09,Epoch evaluations
m1,b6,0.7959999999999999,Aider polyglot,2024-12-21,True,False,True,grok-4-0709,2025-07-09,Aider LLM Leaderboards
m10,b1,0.15333333333333332,GPQA diamond,2023-11-20,True,False,False,gemma-2-27b-it,2024-06-24,Epoch evaluations
m10,b23,0.3818,LiveBench,2024-06-27,True,True,True,gemma-2-27b-it,2024-06-24,LiveBench Leaderboard
m10,b24,0.676,MMLU,2020-09-07,True,False,False,gemma-2-27b-it,2024-06-24,Stanford CRFM Leaderboard
m10,b3,0.279,MATH level 5,2021-03-05,True,True,False,gemma-2-27b-it,2024-06-24,Epoch evaluations
m10,b4,0.013013013013013015,OTIS Mock AIME 2024-2025,2024-12-19,True,True,False,gemma-2-27b-it,2024-06-24,Epoch evaluations
m100,b11,0.41466666666666674,BBH,2022-10-17,True,False,False,Mistral-7B-v0.1,2023-09-27,Gemma: Open Models Based on Gemini Research and Technology
m100,b12,0.7480000000000002,BoolQ,2019-05-24,True,False,False,Mistral-7B-v0.1,2023-09-27,Stanford HELM
m100,b20,0.7466666666666667,HellaSwag,2019-05-19,True,False,False,Mistral-7B-v0.1,2023-09-27,Mixtral of Experts
m100,b24,0.4213333333333334,MMLU,2020-09-07,True,False,False,Mistral-7B-v0.1,2023-09-27,Stanford CRFM Leaderboard
m100,b28,0.6599999999999999,PIQA,2019-11-26,True,False,False,Mistral-7B-v0.1,2023-09-27,Phi-3 Technical Report: A Highly Capable Language Model Locally on Your Phone
m100,b37,0.506,Winogrande,2019-07-24,True,False,False,Mistral-7B-v0.1,2023-09-27,Mistral 7B
m100,b7,0.20650000000000004,ANLI,2019-10-31,True,False,False,Mistral-7B-v0.1,2023-09-27,Phi-3 Technical Report: A Highly Capable Language Model Locally on Your Phone
m100,b9,0.7146666666666666,ARC AI2,2018-03-14,True,False,False,Mistral-7B-v0.1,2023-09-27,Nemotron-4 15B Technical Report
m101,b11,0.4013333333333334,BBH,2022-10-17,True,False,False,gemma-7b,2024-02-21,Gemma: Open Models Based on Gemini Research and Technology
m101,b12,0.6640000000000001,BoolQ,2019-05-24,True,False,False,gemma-7b,2024-02-21,Gemma: Open Models Based on Gemini Research and Technology
m101,b20,0.7626666666666667,HellaSwag,2019-05-19,True,False,False,gemma-7b,2024-02-21,Gemma: Open Models Based on Gemini Research and Technology
m101,b24,0.5479999999999999,MMLU,2020-09-07,True,False,False,gemma-7b,2024-02-21,Stanford CRFM Leaderboard
m101,b28,0.6240000000000001,PIQA,2019-11-26,True,False,False,gemma-7b,2024-02-21,Gemma: Open Models Based on Gemini Research and Technology
m101,b33,0.634,TriviaQA,2017-05-09,True,False,False,gemma-7b,2024-02-21,Gemma: Open Models Based on Gemini Research and Technology
m101,b37,0.5800000000000001,Winogrande,2019-07-24,True,False,False,gemma-7b,2024-02-21,Gemma: Open Models Based on Gemini Research and Technology
m101,b7,0.23050000000000007,ANLI,2019-10-31,True,False,False,gemma-7b,2024-02-21,Phi-3 Technical Report: A Highly Capable Language Model Locally on Your Phone
m101,b9,0.7106666666666666,ARC AI2,2018-03-14,True,False,False,gemma-7b,2024-02-21,Nemotron-4 15B Technical Report
m102,b20,0.8226666666666667,HellaSwag,2019-05-19,True,False,False,Mixtral-8x7B-v0.1,2023-12-11,Mixtral of Experts
m102,b24,0.608,MMLU,2020-09-07,True,False,False,Mixtral-8x7B-v0.1,2023-12-11,Mixtral of Experts
m102,b28,0.6719999999999999,PIQA,2019-11-26,True,False,False,Mixtral-8x7B-v0.1,2023-12-11,Mixtral of Experts
m102,b37,0.544,Winogrande,2019-07-24,True,False,False,Mixtral-8x7B-v0.1,2023-12-11,Mixtral of Experts
m102,b7,0.32800000000000007,ANLI,2019-10-31,True,False,False,Mixtral-8x7B-v0.1,2023-12-11,Phi-3 Technical Report: A Highly Capable Language Model Locally on Your Phone
m102,b9,0.8306666666666667,ARC AI2,2018-03-14,True,False,False,Mixtral-8x7B-v0.1,2023-12-11,Mixtral of Experts
m103,b12,0.55,BoolQ,2019-05-24,True,False,False,text-davinci-001,2022-01-27,GLaM: Efficient Scaling of Language Models with Mixture-of-Experts
m103,b14,0.05800000000000005,CSQA2,2022-01-14,False,False,False,text-davinci-001,2022-01-27,CommonsenseQA 2.0: Exposing the Limits of AI through Gamification
m103,b20,0.7239999999999999,HellaSwag,2019-05-19,True,False,False,text-davinci-001,2022-01-27,GLaM: Efficient Scaling of Language Models with Mixture-of-Experts
m103,b21,0.8640000000000001,LAMBADA,2016-06-20,True,False,False,text-davinci-001,2022-01-27,GLaM: Efficient Scaling of Language Models with Mixture-of-Experts
m103,b24,0.252,MMLU,2020-09-07,True,False,False,text-davinci-001,2022-01-27,"Scaling Language Models: Methods, Analysis & Insights from Training Gopher"
m103,b25,0.5386666666666667,OpenBookQA,2018-09-08,True,False,False,text-davinci-001,2022-01-27,GLaM: Efficient Scaling of Language Models with Mixture-of-Experts
m103,b28,0.6459999999999999,PIQA,2019-11-26,True,False,False,text-davinci-001,2022-01-27,GLaM: Efficient Scaling of Language Models with Mixture-of-Experts
m103,b29,0.6538666666666667,ScienceQA,2022-09-20,True,False,False,text-davinci-001,2022-01-27,ScienceQA leaderboard
m103,b31,0.718,SuperGLUE,2019-05-02,True,False,False,text-davinci-001,2022-01-27,Language Models are Few-Shot Learners
m103,b33,0.7120000000000001,TriviaQA,2017-05-09,True,False,False,text-davinci-001,2022-01-27,Language Models are Few-Shot Learners
m103,b37,0.554,Winogrande,2019-07-24,True,False,False,text-davinci-001,2022-01-27,Language Models are Few-Shot Learners
m103,b7,0.030999999999999996,ANLI,2019-10-31,True,False,False,text-davinci-001,2022-01-27,"Using DeepSpeed and Megatron to Train Megatron-Turing NLG 530B, A Large-Scale Generative Language Model"
m103,b9,0.37600000000000006,ARC AI2,2018-03-14,True,False,False,text-davinci-001,2022-01-27,The Falcon Series of Open Language Models
m104,b12,0.696,BoolQ,2019-05-24,True,False,False,Megatron-Turing NLG 530B,2022-01-28,"Using DeepSpeed and Megatron to Train Megatron-Turing NLG 530B, A Large-Scale Generative Language Model"
m104,b21,0.872,LAMBADA,2016-06-20,True,False,False,Megatron-Turing NLG 530B,2022-01-28,"Using DeepSpeed and Megatron to Train Megatron-Turing NLG 530B, A Large-Scale Generative Language Model"
m104,b28,0.6640000000000001,PIQA,2019-11-26,True,False,False,Megatron-Turing NLG 530B,2022-01-28,"Using DeepSpeed and Megatron to Train Megatron-Turing NLG 530B, A Large-Scale Generative Language Model"
m104,b7,0.09550000000000004,ANLI,2019-10-31,True,False,False,Megatron-Turing NLG 530B,2022-01-28,"Using DeepSpeed and Megatron to Train Megatron-Turing NLG 530B, A Large-Scale Generative Language Model"
m105,b11,0.2373333333333333,BBH,2022-10-17,True,False,False,Yi-6B,2023-11-02,Yi: Open Foundation Models by 01.AI
m105,b20,0.6586666666666668,HellaSwag,2019-05-19,True,False,False,Yi-6B,2023-11-02,Yi: Open Foundation Models by 01.AI
m105,b24,0.52,MMLU,2020-09-07,True,False,False,Yi-6B,2023-11-02,Stanford CRFM Leaderboard
m105,b37,0.42599999999999993,Winogrande,2019-07-24,True,False,False,Yi-6B,2023-11-02,Yi: Open Foundation Models by 01.AI
m105,b9,0.3373333333333333,ARC AI2,2018-03-14,True,False,False,Yi-6B,2023-11-02,Yi: Open Foundation Models by 01.AI
m106,b12,0.774,BoolQ,2019-05-24,True,False,False,PaLM 540B,2022-04-04,LLaMA: Open and Efficient Foundation Language Models
m106,b20,0.7839999999999999,HellaSwag,2019-05-19,True,False,False,PaLM 540B,2022-04-04,PaLM: Scaling Language Modeling with Pathways
m106,b21,0.779,LAMBADA,2016-06-20,True,False,False,PaLM 540B,2022-04-04,The Falcon Series of Open Language Models
m106,b25,0.5733333333333334,OpenBookQA,2018-09-08,True,False,False,PaLM 540B,2022-04-04,PaLM: Scaling Language Modeling with Pathways
m106,b28,0.6459999999999999,PIQA,2019-11-26,True,False,False,PaLM 540B,2022-04-04,LLaMA: Open and Efficient Foundation Language Models
m106,b33,0.8140000000000001,TriviaQA,2017-05-09,True,False,False,PaLM 540B,2022-04-04,PaLM: Scaling Language Modeling with Pathways
m106,b37,0.702,Winogrande,2019-07-24,True,False,False,PaLM 540B,2022-04-04,PaLM: Scaling Language Modeling with Pathways
m106,b9,0.8026666666666666,ARC AI2,2018-03-14,True,False,False,PaLM 540B,2022-04-04,The Falcon Series of Open Language Models
m107,b12,0.7619999999999998,BoolQ,2019-05-24,True,False,False,PaLM 2-S,2023-05-17,The Falcon Series of Open Language Models
m107,b20,0.7599999999999999,HellaSwag,2019-05-19,True,False,False,PaLM 2-S,2023-05-17,PaLM 2 Technical Report
m107,b25,0.4160000000000001,OpenBookQA,2018-09-08,True,False,False,PaLM 2-S,2023-05-17,PaLM 2 Technical Report
m107,b33,0.752,TriviaQA,2017-05-09,True,False,False,PaLM 2-S,2023-05-17,PaLM 2 Technical Report
m107,b37,0.558,Winogrande,2019-07-24,True,False,False,PaLM 2-S,2023-05-17,PaLM 2 Technical Report
m107,b9,0.4613333333333333,ARC AI2,2018-03-14,True,False,False,PaLM 2-S,2023-05-17,The Falcon Series of Open Language Models
m108,b12,0.7719999999999998,BoolQ,2019-05-24,True,False,False,PaLM 2-M,2023-05-17,The Falcon Series of Open Language Models
m108,b20,0.7866666666666666,HellaSwag,2019-05-19,True,False,False,PaLM 2-M,2023-05-17,PaLM 2 Technical Report
m108,b25,0.43199999999999994,OpenBookQA,2018-09-08,True,False,False,PaLM 2-M,2023-05-17,PaLM 2 Technical Report
m108,b33,0.8170000000000001,TriviaQA,2017-05-09,True,False,False,PaLM 2-M,2023-05-17,PaLM 2 Technical Report
m108,b37,0.5840000000000001,Winogrande,2019-07-24,True,False,False,PaLM 2-M,2023-05-17,PaLM 2 Technical Report
m108,b9,0.532,ARC AI2,2018-03-14,True,False,False,PaLM 2-M,2023-05-17,The Falcon Series of Open Language Models
m109,b12,0.8180000000000001,BoolQ,2019-05-24,True,False,False,PaLM 2-L,2023-05-17,The Falcon Series of Open Language Models
m109,b20,0.824,HellaSwag,2019-05-19,True,False,False,PaLM 2-L,2023-05-17,PaLM 2 Technical Report
m109,b33,0.861,TriviaQA,2017-05-09,True,False,False,PaLM 2-L,2023-05-17,PaLM 2 Technical Report
m109,b37,0.6599999999999999,Winogrande,2019-07-24,True,False,False,PaLM 2-L,2023-05-17,PaLM 2 Technical Report
m109,b9,0.5893333333333334,ARC AI2,2018-03-14,True,False,False,PaLM 2-L,2023-05-17,The Falcon Series of Open Language Models
m11,b1,0.15066666666666664,GPQA diamond,2023-11-20,True,False,False,claude-3-haiku-20240307,2024-03-07,Epoch evaluations
m11,b13,0.12,CadEval,2025-04-22,False,False,True,claude-3-haiku-20240307,2024-03-07,CadEval Dashboard
m11,b24,0.6506666666666666,MMLU,2020-09-07,True,False,False,claude-3-haiku-20240307,2024-03-07,Stanford CRFM Leaderboard
